file	original_loc	target_rust_path	status	agent_id	started_at	completed_at	notes
common\AlignedMalloc.cpp	41	rust\translations\common/AlignedMalloc.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\AlignedMalloc.h	27	rust\translations\common/AlignedMalloc.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Assertions.cpp	103	rust\translations\common/Assertions.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\Assertions.h	38	rust\translations\common/Assertions.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\BitUtils.h	79	rust\translations\common/BitUtils.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\ByteSwap.h	40	rust\translations\common/ByteSwap.rs	translated	agent-batch-fillin-001		2026-06-19T04.48.29	agent-batch-001
common\CocoaTools.h	38	rust\translations\common/CocoaTools.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Console.cpp	430	rust\translations\common/Console.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Console.h	161	rust\translations\common/Console.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\CrashHandler.cpp	310	rust\translations\common/CrashHandler.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\CrashHandler.h	16	rust\translations\common/CrashHandler.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Darwin\DarwinMisc.cpp	546	rust\translations\common/Darwin/DarwinMisc.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Darwin\DarwinMisc.h	16	rust\translations\common/Darwin/DarwinMisc.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Darwin\DarwinThreads.cpp	235	rust\translations\common/Darwin/DarwinThreads.rs	pending				
common\DynamicLibrary.cpp	146	rust\translations\common/DynamicLibrary.rs	translated	agent-batch-fillin-001		2026-06-19T04.55.43	agent-batch-002
common\DynamicLibrary.h	60	rust\translations\common/DynamicLibrary.rs	translated	agent-batch-fillin-001		2026-06-19T04.55.43	agent-batch-002
common\Easing.h	227	rust\translations\common/Easing.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\emitter\bmi.cpp	18	rust\translations\common/emitter/bmi.rs	pending				
common\emitter\fpu.cpp	51	rust\translations\common/emitter/fpu.rs	pending				
common\emitter\groups.cpp	204	rust\translations\common/emitter/groups.rs	pending				
common\emitter\implement\avx.h	84	rust\translations\common/emitter/implement/avx.rs	pending				
common\emitter\implement\bmi.h	41	rust\translations\common/emitter/implement/bmi.rs	pending				
common\emitter\implement\dwshift.h	24	rust\translations\common/emitter/implement/dwshift.rs	pending				
common\emitter\implement\group1.h	48	rust\translations\common/emitter/implement/group1.rs	pending				
common\emitter\implement\group2.h	43	rust\translations\common/emitter/implement/group2.rs	pending				
common\emitter\implement\group3.h	55	rust\translations\common/emitter/implement/group3.rs	pending				
common\emitter\implement\helpers.h	65	rust\translations\common/emitter/implement/helpers.rs	pending				
common\emitter\implement\incdec.h	17	rust\translations\common/emitter/implement/incdec.rs	pending				
common\emitter\implement\jmpcall.h	62	rust\translations\common/emitter/implement/jmpcall.rs	pending				
common\emitter\implement\movs.h	104	rust\translations\common/emitter/implement/movs.rs	pending				
common\emitter\implement\simd_arithmetic.h	269	rust\translations\common/emitter/implement/simd_arithmetic.rs	pending				
common\emitter\implement\simd_comparisons.h	95	rust\translations\common/emitter/implement/simd_comparisons.rs	pending				
common\emitter\implement\simd_helpers.h	139	rust\translations\common/emitter/implement/simd_helpers.rs	pending				
common\emitter\implement\simd_moremovs.h	133	rust\translations\common/emitter/implement/simd_moremovs.rs	pending				
common\emitter\implement\simd_shufflepack.h	176	rust\translations\common/emitter/implement/simd_shufflepack.rs	pending				
common\emitter\implement\simd_templated_helpers.h	22	rust\translations\common/emitter/implement/simd_templated_helpers.rs	pending				
common\emitter\implement\test.h	51	rust\translations\common/emitter/implement/test.rs	pending				
common\emitter\implement\xchg.h	8	rust\translations\common/emitter/implement/xchg.rs	pending				
common\emitter\instructions.h	510	rust\translations\common/emitter/instructions.rs	pending				
common\emitter\internal.h	176	rust\translations\common/emitter/internal.rs	pending				
common\emitter\jmp.cpp	234	rust\translations\common/emitter/jmp.rs	pending				
common\emitter\legacy_instructions.h	167	rust\translations\common/emitter/legacy_instructions.rs	pending				
common\emitter\legacy_internal.h	20	rust\translations\common/emitter/legacy_internal.rs	pending				
common\emitter\legacy_sse.cpp	14	rust\translations\common/emitter/legacy_sse.rs	pending				
common\emitter\legacy_types.h	9	rust\translations\common/emitter/legacy_types.rs	pending				
common\emitter\legacy.cpp	339	rust\translations\common/emitter/legacy.rs	pending				
common\emitter\movs.cpp	227	rust\translations\common/emitter/movs.rs	pending				
common\emitter\simd.cpp	767	rust\translations\common/emitter/simd.rs	pending				
common\emitter\x86emitter.cpp	1304	rust\translations\common/emitter/x86emitter.rs	translated			2026-06-19T05.29.11	agent-batch-004-005
common\emitter\x86emitter.h	33	rust\translations\common/emitter/x86emitter.rs	translated			2026-06-19T05.29.11	agent-batch-004-005
common\emitter\x86types.h	907	rust\translations\common/emitter/x86types.rs	pending				
