file	original_loc	target_rust_path	status	agent_id	started_at	completed_at	notes
3rdparty\ccc\src\ccc\ast.cpp	540	rust\translations\3rdparty\3rdparty/ccc/src/ccc/ast.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\ast.h	344	rust\translations\3rdparty\3rdparty/ccc/src/ccc/ast.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\elf_symtab.cpp	200	rust\translations\3rdparty\3rdparty/ccc/src/ccc/elf_symtab.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\elf_symtab.h	15	rust\translations\3rdparty\3rdparty/ccc/src/ccc/elf_symtab.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\elf.cpp	118	rust\translations\3rdparty\3rdparty/ccc/src/ccc/elf.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\elf.h	146	rust\translations\3rdparty\3rdparty/ccc/src/ccc/elf.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\importer_flags.cpp	89	rust\translations\3rdparty\3rdparty/ccc/src/ccc/importer_flags.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\importer_flags.h	31	rust\translations\3rdparty\3rdparty/ccc/src/ccc/importer_flags.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_analysis.cpp	328	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_analysis.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_analysis.h	93	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_analysis.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_importer.cpp	654	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_importer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_importer.h	24	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_importer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_section.cpp	452	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_section.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_section.h	162	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_section.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_symbols.cpp	213	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_symbols.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\mdebug_symbols.h	25	rust\translations\3rdparty\3rdparty/ccc/src/ccc/mdebug_symbols.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\sndll.cpp	178	rust\translations\3rdparty\3rdparty/ccc/src/ccc/sndll.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\sndll.h	43	rust\translations\3rdparty\3rdparty/ccc/src/ccc/sndll.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\stabs_to_ast.cpp	818	rust\translations\3rdparty\3rdparty/ccc/src/ccc/stabs_to_ast.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\stabs_to_ast.h	24	rust\translations\3rdparty\3rdparty/ccc/src/ccc/stabs_to_ast.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\stabs.cpp	811	rust\translations\3rdparty\3rdparty/ccc/src/ccc/stabs.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\stabs.h	343	rust\translations\3rdparty\3rdparty/ccc/src/ccc/stabs.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\symbol_database.cpp	1100	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_database.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\symbol_database.h	683	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_database.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
